date,open,high,low,close,adjustedClose,volume,amount
2016-05-26,3056.6,3072.52,3027.44,3064.21,3064.21,60392981,65985183919
2016-05-27,3059.73,3073.76,3052.18,3062.5,3062.5,60468750,59371777079
2016-05-30,3056.31,3075.26,3037.66,3066.71,3066.71,63098579,63496565009
2016-05-31,3068.6,3170.93,3068.6,3169.56,3169.56,138863111,151398175957
2016-06-01,3172.96,3181.79,3159.82,3160.55,3160.55,113148482,131700821152
2016-06-02,3158.03,3168.82,3151.07,3167.1,3167.1,86003427,97093625345
2016-06-03,3172.95,3201.75,3162.09,3189.33,3189.33,101491783,136332027087
2016-06-06,3192.78,3197.22,3168.55,3178.79,3178.79,76693751,101176231366
2016-06-07,3182.44,3186.62,3168.18,3177.05,3177.05,68928314,88711618425
2016-06-08,3171.81,3174.97,3148.35,3163.99,3163.99,76291775,97682790861
2016-06-13,3134.05,3145.61,3065.77,3066.34,3066.34,92975947,114091320004
2016-06-14,3058.44,3078.75,3055.66,3075.98,3075.98,66279457,78622305350
2016-06-15,3043.96,3128.67,3042.23,3116.37,3116.37,87393257,106170177872
2016-06-16,3104.36,3112.48,3089.48,3094.67,3094.67,82974703,93496238871
2016-06-17,3096.09,3131.05,3096.09,3110.36,3110.36,85402985,97953389320
2016-06-20,3114.91,3118.73,3089.71,3112.67,3112.67,63587141,74647802462
2016-06-21,3124.9,3155.49,3097.94,3106.32,3106.32,87965345,107233643632
2016-06-22,3100.45,3134.06,3096.99,3133.96,3133.96,66487113,81348715848
2016-06-23,3129.72,3129.72,3102.48,3117.32,3117.32,67751738,81732552159
2016-06-24,3110.65,3130.54,3033.97,3077.16,3077.16,104792208,118967441702
2016-06-27,3065.13,3120.64,3064.97,3120.54,3120.54,83267259,104066083791
2016-06-28,3107.4,3139.43,3099.7,3136.4,3136.4,92024637,117197791504
2016-06-29,3142.48,3158.08,3139.13,3151.39,3151.39,103723668,117958861189
2016-06-30,3152.83,3163.72,3148.2,3153.92,3153.92,79692617,100627912925
2016-07-01,3156.93,3170.26,3148.29,3154.2,3154.2,71746283,91215027688
2016-07-04,3136.39,3210.6,3134.02,3204.7,3204.7,133310529,149894780037
2016-07-05,3199.16,3216.7,3198,3207.38,3207.38,130226895,143899100428
2016-07-06,3197.62,3217.52,3183.45,3216.8,3216.8,124897458,147232471496
2016-07-07,3206.55,3220.54,3190.12,3209.95,3209.95,118595202,140488833675
2016-07-08,3199.75,3204.93,3183.96,3192.28,3192.28,89734855,111063465417
2016-07-11,3199.04,3235.96,3197.63,3203.33,3203.33,138529511,155288151673
2016-07-12,3201.91,3273.47,3200.3,3273.18,3273.18,172534217,190853738897
2016-07-13,3274.02,3300.99,3271.78,3282.87,3282.87,175196090,196592300322
2016-07-14,3277.48,3281.95,3259.07,3276.76,3276.76,107525798,128090420917
2016-07-15,3278.84,3285.03,3265.29,3276.28,3276.28,102665026,125179812929
2016-07-18,3269.71,3281.64,3251.77,3262.02,3262.02,110312518,129785706199
2016-07-19,3260.43,3264.73,3226.2,3248.23,3248.23,88886861,107108911172
2016-07-20,3246.86,3254.51,3232.26,3237.6,3237.6,72701255,91367448994
2016-07-21,3238.34,3271.37,3238.3,3252.52,3252.52,86004825,107464072513
2016-07-22,3251.24,3253.77,3220.89,3225.16,3225.16,86029128,107416887320
2016-07-25,3220.17,3243.79,3218.14,3230.89,3230.89,70203185,92015844035
2016-07-26,3228.23,3269.75,3228.01,3269.59,3269.59,81051089,103745762758
2016-07-27,3270.08,3276.51,3157.41,3218.24,3218.24,160188665,186928366498
2016-07-28,3204.46,3235.78,3195.27,3221.14,3221.14,112779964,137295892753
2016-07-29,3217.19,3225.42,3198.68,3203.93,3203.93,88044837,103787029748
2016-08-01,3196.43,3199.98,3156.75,3176.81,3176.81,87003497,98818634361
2016-08-02,3173.76,3189.05,3165.54,3189.05,3189.05,62167639,70640763842
2016-08-03,3179.68,3197.16,3173.54,3193.51,3193.51,72864102,79754323301
2016-08-04,3190.55,3201.55,3170.42,3201.29,3201.29,73504373,86919591121
2016-08-05,3201.35,3224.87,3192.86,3205.11,3205.11,77196366,94429542391
2016-08-08,3199.57,3234.48,3187.25,3234.18,3234.18,86676051,102638114597
2016-08-09,3232.6,3257.33,3229.17,3256.98,3256.98,91065259,105924052436
2016-08-10,3255.18,3261.86,3242.75,3243.34,3243.34,90430372,106157448028
2016-08-11,3239.56,3274.03,3232.61,3233.36,3233.36,101041213,116996159046
2016-08-12,3231.81,3294.23,3231.14,3294.23,3294.23,116254044,129354686387
2016-08-15,3303.47,3417.91,3302.38,3393.42,3393.42,220543421,258897463910
2016-08-16,3403.38,3418.69,3372.02,3378.25,3378.25,196389740,226785231085
2016-08-17,3377.77,3394.39,3356.92,3373.05,3373.05,138847688,167917530856
2016-08-18,3369.95,3394.79,3349.69,3364.49,3364.49,142380169,172256533000
2016-08-19,3358.55,3374.04,3341.19,3365.02,3365.02,119961508,135382706293
2016-08-22,3364.68,3372.83,3335.47,3336.79,3336.79,107951008,128201783812
2016-08-23,3332.62,3359.65,3324.96,3341.83,3341.83,92924516,108503692377
2016-08-24,3341.93,3348.13,3323.73,3329.86,3329.86,81191429,94012832200
2016-08-25,3314.08,3315.08,3279.81,3308.97,3308.97,100589153,112578140010
2016-08-26,3312.5,3328.95,3301.74,3307.09,3307.09,81530691,93213205560
2016-08-29,3306.57,3315.08,3297.07,3307.78,3307.78,77036333,88011642022
2016-08-30,3310.32,3325.12,3304.6,3311.99,3311.99,75725987,89513016667
2016-08-31,3310.57,3333.97,3304.66,3327.79,3327.79,79570805,99215044445
2016-09-01,3326.74,3329.35,3301.21,3301.58,3301.58,84947219,100911462823
2016-09-02,3298.72,3320.43,3295.76,3314.11,3314.11,82791803,99396378584
2016-09-05,3321.01,3338.42,3314.63,3319.68,3319.68,78292477,87531089645
2016-09-06,3322.02,3347.95,3300.13,3342.63,3342.63,98283998,118366533426
2016-09-07,3344.07,3357.36,3337.75,3340.82,3340.82,102940106,115119908617
2016-09-08,3338.01,3343.4,3328.23,3339.56,3339.56,71916158,83742346850
2016-09-09,3339.37,3344.95,3318.04,3318.04,3318.04,82657036,95471188732
2016-09-12,3271.87,3276.72,3234.57,3262.6,3262.6,122917682,134456630927
2016-09-13,3265.34,3269.22,3246.39,3260.33,3260.33,67180288,76862644231
2016-09-14,3245.74,3255,3231.34,3238.73,3238.73,70432697,79780746436
2016-09-19,3242.74,3264.9,3242.74,3263.12,3263.12,58831082,67678031642
2016-09-20,3264.66,3265.04,3252.39,3257.4,3257.4,52784206,61626150818
2016-09-21,3257.71,3270.9,3254.32,3266.64,3266.64,59142979,68957744044
2016-09-22,3281.47,3303.2,3277.98,3291.12,3291.12,75753542,89991761655
2016-09-23,3292.28,3293.92,3275.02,3275.67,3275.67,57993986,68046257250
2016-09-26,3267.69,3267.69,3220.28,3220.28,3220.28,70452186,78700835132
2016-09-27,3214.87,3240.78,3214.44,3240.75,3240.75,58460550,66651130361
2016-09-28,3243.65,3243.65,3228,3230.89,3230.89,44727498,51996404752
2016-09-29,3234.86,3257.77,3234.8,3244.39,3244.39,55452556,62220302312
2016-09-30,3240.18,3260.94,3239.04,3253.28,3253.28,44978022,52655734553
2016-10-10,3265.36,3294.64,3258.96,3293.87,3293.87,80519260,89607989896
2016-10-11,3296.87,3308,3292.88,3306.56,3306.56,87713163,88213421183
2016-10-12,3299.14,3302.56,3289.75,3300.01,3300.01,68669781,72386912616
2016-10-13,3299.16,3307.41,3292.4,3302.65,3302.65,81224198,79923748596
2016-10-14,3298.73,3306.69,3285.73,3305.85,3305.85,82316271,81485597806
2016-10-17,3305.96,3309.01,3271.54,3277.88,3277.88,86113509,88199418936
2016-10-18,3272.68,3321.33,3272.68,3321.33,3321.33,102860714,104625044142
2016-10-19,3323.3,3332.52,3309.83,3316.24,3316.24,101167725,96354442199
2016-10-20,3317.18,3324.9,3312.17,3318.6,3318.6,79238871,82481095277
2016-10-21,3315.72,3341.56,3309.18,3327.74,3327.74,109785176,107114926126
2016-10-24,3332.51,3382.83,3330.97,3367.58,3367.58,153014345,150063007899
2016-10-25,3367.48,3373.91,3356.59,3367.45,3367.45,111191693,110576512916
2016-10-26,3365.2,3367.83,3349.57,3354.8,3354.8,98024786,104719318220
2016-10-27,3351.46,3352.35,3335.13,3345.7,3345.7,77629851,85241012414
2016-10-28,3347.14,3370.75,3337.29,3340.13,3340.13,93133309,104797971448
2016-10-31,3332.41,3340.47,3317.33,3336.28,3336.28,71352863,80701820968
2016-11-01,3338.71,3359.39,3334.46,3359.05,3359.05,74938199,84717683750
2016-11-02,3350.71,3356.4,3331.38,3333.35,3333.35,91197104,100348995733
2016-11-03,3326.9,3379.99,3324.84,3365.08,3365.08,126223504,137386468361
2016-11-04,3362.21,3377.64,3348.43,3354.17,3354.17,104069655,110813764577
2016-11-07,3353.44,3362.74,3342.31,3356.59,3356.59,99877988,94370876771
2016-11-08,3367.7,3383.92,3361.13,3371.12,3371.12,103148282,105138256061
2016-11-09,3370.6,3373.1,3322.08,3353.05,3353.05,139110059,145186921690
2016-11-10,3374.91,3403.02,3374.91,3390.61,3390.61,134705535,133277399553
2016-11-11,3387.95,3422.67,3382.89,3417.22,3417.22,198781496,190647270040
2016-11-14,3409.22,3452.62,3408.14,3430.25,3430.25,213247105,208353308629
2016-11-15,3428.87,3434.92,3415.99,3429.87,3429.87,134566320,135206770523
2016-11-16,3432.43,3435.64,3419.24,3429.59,3429.59,129808511,128944599173
2016-11-17,3423.47,3437.67,3412.88,3436.53,3436.53,121561731,121576882948
2016-11-18,3437.49,3443.12,3413.27,3417.46,3417.46,115951205,117345607612
2016-11-21,3412.65,3463.14,3412.08,3441.11,3441.11,146434529,147542589349
2016-11-22,3443.22,3469.22,3443.22,3468.36,3468.36,168523446,167250665827
2016-11-23,3473.9,3492.96,3465.76,3474.73,3474.73,162388504,171247116196
2016-11-24,3468.81,3508.16,3467.01,3488.74,3488.74,145746301,165071453531
2016-11-25,3490.04,3521.3,3463.95,3521.3,3521.3,153621506,166832181108
2016-11-28,3538.68,3553.36,3528.32,3535.08,3535.08,207375483,219859766828
2016-11-29,3525.9,3583.72,3521.38,3564.04,3564.04,236918356,248322816339
2016-11-30,3557.64,3567.07,3527.02,3538,3538,178560178,190681227631
2016-12-01,3543.96,3575.97,3543.25,3565.04,3565.04,180170761,199637742998
2016-12-02,3559.77,3562.55,3516.79,3528.95,3528.95,196355480,203742147476
2016-12-05,3473.69,3496.88,3457.34,3469.41,3469.41,180852355,190175061733
2016-12-06,3466.24,3477.59,3456.81,3459.15,3459.15,115529090,125727753193
2016-12-07,3458.37,3475.75,3445.76,3475.75,3475.75,114345103,115282194223
2016-12-08,3481.81,3484.34,3466.51,3470.14,3470.14,117383922,119188508676
